dataset	accession	num_patients_or_cell_lines	num_samples	num_genes	disease_stages	geo_title	article	article_url	year	sample_type	cell_type	disease_fields	disease_fields_orig	censor_fields	censor_fields_orig	num_covariates	disease_stages_orig_substr	other_fields_of_interest	includes_survival	includes_disease_stage	includes_treatment	platform	platform_type	platform_description	normalization	single_cell	accession_aliases	notes
Terragna et al. (2009)	GSE16791	32	32	24442	MM	Expression data from CD138+ cells obtained from MM patients at diagnosis	Correlation Between Eight-Gene Expression Profiling and Response to Therapy of Newly Diagnosed Multiple Myeloma Patients Treated With Thalidomide-Dexamethasone Incorporated Into Double Autologous Transplantation	https://pubmed.ncbi.nlm.nih.gov/23660628/	2013	Patient	CD138+	mm_stage	stage:ch1'			1				yes		GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array	RMA, percentile normalization	FALSE		Based on the manuscript, the "stage" metadata field appears to correspond to the Durie-Salmon Staging system: https://www.myeloma.org/durie-salmon-staging
Wang (2021)	GSE178340	1	32	17086	MM	Next Generation Sequencing Facilitates Quantitative Analysis of transcriptomes in MM.1S cells treated with DMSO, All-trans retinoic acid (ATRA), carfilzomib (Cfz), and their combinations	RARγ activation sensitizes human myeloma cells to carfilzomib treatment through the OAS-RNase L innate immune pathway	https://pubmed.ncbi.nlm.nih.gov/34411225/	2022	Cell line	MM.1S	treatment	treatment:ch1			1					yes	GPL21697	RNA-Seq	Illumina NextSeq 550	FPM	FALSE		
Boiarsky et al. (2022)	GSE193531	35	35	22088	Healthy, MGUS, SMM, MM	Single Cell Characterization of Myeloma and its Precursor Conditions Reveals Transcriptional Signatures of Early Tumorigenesis	Single cell characterization of myeloma and its precursor conditions reveals transcriptional signatures of early tumorigenesis.	https://www.nature.com/articles/s41467-022-33944-z	2022	Patient	CD138+	mm_stage	diagnosis			1	"NBM (healthy control)", "MGUS", "SMM", "MM"			yes		GPL16791	RNA-Seq	Illumina HiSeq 2500	[UMI -> CPM]	TRUE		
Zhou et al. (2013)	GSE19554	19	59	24442	MM	Expression data from bone marrow of primary multiple myeloma patients	NEK2 Induces Drug Resistance Mainly Through Activation of Efflux Drug Pumps and Is Associated With Poor Prognosis in Myeloma and Other Cancers	https://pubmed.ncbi.nlm.nih.gov/23328480/	2013	Patient	CD138+	tumor_stage	tumor stage:ch1'			1				yes		GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array	global scaling	FALSE		
Broyl et al. (2010)	GSE19784	282	282	24442	MM	Gene expression profiling of multiple myeloma patients included in the HOVON65/GMMG-HD4 trial	Gene expression profiling for molecular classification of multiple myeloma in newly diagnosed patients. 	https://pubmed.ncbi.nlm.nih.gov/20574050/	2010	Patient	CD138+	iss_stage, patient_subgroup, os_time, pfs_time	cluster:ch1, iss:ch1, 'OS (months)',  'PFS (months)'	os_event, pfs_event	OS event (1=yes;0=no)', 'PFS event (1=yes;0=no)'	4				yes		GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array	GCRMA	FALSE		Survival metadata extracted from Kuiper et al., (2012) supplement.
MAQC-II	GSE24080	554	554	24442	MM	MAQC-II Project: Multiple myeloma (MM) data set	Effect of training-sample size and classification difficulty on the accuracy of genomic predictors.	https://pubmed.ncbi.nlm.nih.gov/20064235/	2010	Patient	CD138+	NA	NA	os_time, os_event, efs_time, efs_event; 	OS(months)'; 'EFS(months)'; 'OS-censor'; 'EFS-censor'; 	2		gender, age, maqc_status	yes			GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array	unknown	FALSE	GSE2658; GSE4581; GSE4204	
MMRC	GSE26760	234	237	24442	MGUS, SMM, MM, PCL	MMRC expression reference collection	Initial genome sequencing and analysis of multiple myeloma	https://www.nature.com/articles/nature09837	2011	Patient	CD138+	mm_stage	Diagnosis			1	Multiple Myeloma, Primary Plasma Cell Leukemia, MGUS, Smoldering Myeloma, Unknown	Age at Diagnosis, Gender, Race, Cause of Death		yes		GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array	RMA, quantile normalization	FALSE		Metadata accessed via http://portals.broadinstitute.org/mmgp/data/browseData?conversationPropagation=begin (June 11, 2019); ; MMRF reference collection
Agnelli et al. (2005)	GSE2912	50	50	14208	MM	Molecular classification of multiple myeloma	Molecular classification of multiple myeloma: a distinct transcriptional profile characterizes patients expressing CCND1 and negative for 14q32 translocations	https://pubmed.ncbi.nlm.nih.gov/16129847/	2005	Patient	CD138+	mm_stage	Stage			1		Sex, Age		yes		GPL96	Microarray	Affymetrix Human Genome U133A Array; 	RMA	FALSE		The gene expression profiles of purified plasma cells from 50 MM cases were used to stratify the samples into the five TC classes and identify their transcriptional fingerprints.'; Metadata downloaded from Agnelli et al. (2005) Appendix A
UK Myeloma XI	GSE31161	1035	780	24442	MM, RRMM	Expression data from primary multiple myeloma plasma cells from patients treated by Total Therapy 2, 3 and Other protocols at baseline and relapse.	Identification of multiple risk loci and regulatory mechanisms influencing susceptibility to multiple myeloma	https://www.nature.com/articles/s41467-018-04989-w	2015	Patient	CD138+	NA	NA			1		treatment		yes	yes	GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array	global scaling	FALSE		Relapse samples related to dataset GSE2658. Subset of GSE31162 (only ~30 additional samples for different conditions included in superset; 
Chauhan et al. (2012)	GSE39754	170	170	17776	Healthy, MM	Gene Expression profiling of Multiple Myeloma	A small molecule inhibitor of ubiquitin-specific protease-7 induces apoptosis in multiple myeloma cells and overcomes bortezomib resistance. 	https://pubmed.ncbi.nlm.nih.gov/22975377/	2012	Patient	CD138+	treatment_response	treatment_response:ch1			1					yes	GPL5175	Microarray	Affymetrix Human Exon 1.0 ST Array [transcript (gene) version]	RMA	FALSE		Related to earlier datasets GSE19784 & GSE7892
López-Corral et al. (2014)	GSE47552	99	99	21147	MGUS, SMM, MM	Transcriptome analysis reveals molecular profiles associated with evolving steps of monoclonal gammopathies	Transcriptome analysis reveals molecular profiles associated with evolving steps of monoclonal gammopathies	https://pubmed.ncbi.nlm.nih.gov/24816239/	2014	Patient	CD138+	mm_stage	cell type:ch1'			1				yes		GPL6244	Microarray	Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]	RMA	FALSE		
Heuck et al. (2014)	GSE57317	55	55	22836	MM	Gene expression profiles of patients with multiple myeloma who have been treated previously	Five gene probes carry most of the discriminatory power of the 70-gene risk model in multiple myeloma.	https://pubmed.ncbi.nlm.nih.gov/25079174/	2015	Patient	CD138+	patient_subgroup, os_time	molecular subgroup:ch1', 'OS time:ch1'	os_event	os censored:ch1'	2		treatment	yes			GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array; 	MAS5	FALSE		This Series represents the gene expression profiles of patients with multiple myeloma who have been treated previously.
Zhan et al. (2007)	GSE5900 	78	78	24442	Healthy, MGUS, SMM	Gene Expression of Bone Marrow Plasma Cells from Healthy Donors (N=22), MGUS (N=44), and Smoldering Myeloma (N=12)	Gene-expression signature of benign monoclonal gammopathy evident in multiple myeloma is linked to good prognosis.	https://pubmed.ncbi.nlm.nih.gov/17023574/	2006	Patient	CD138+	mm_stage	source_name_ch1			1	Healthy, MGUS, SMM, Multiple Myeloma			yes		GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array	unknown	FALSE	GSE9656	22 healthy; 44 MGUS; 12 Smoldering Myeloma
Chng et al. (2007)	GSE6477	162	162	14208	Healthy, MGUS, SMM, MM, RRMM	Expression data from different stages of plasma cell neoplasm	Molecular dissection of hyperdiploid multiple myeloma by gene expression profiling	https://pubmed.ncbi.nlm.nih.gov/17409404/	2007	Patient	CD138+	mm_stage	title			1	Normal, New, MGUS, Relapsed, Smoldering	ploidy, ch13_status		yes		GPL96	Microarray	Affymetrix Human Genome U133A Array	MAS5	FALSE		The gene expression profile of hyperdiploid MM is compared to that of non-hyperdiploid myeloma to identify differentially expressed genes.
Gutierrez et al. (2007)	GSE6691	25	25	14208	Healthy, MM	Gene expression profiling of B lymphocytes and plasma cells from WaldenstrÖm’s macroglobulinemia.	Gene expression profiling of B lymphocytes and plasma cells from Waldenström's macroglobulinemia: comparison with expression patterns of the same cell counterparts from chronic lymphocytic leukemia, multiple myeloma and normal individuals. 	https://pubmed.ncbi.nlm.nih.gov/17252022/	2007	Patient	CD138+	mm_stage	characteristics_ch1			1	Multiple Myeloma', 'healthy', 'WM', 'CLL'			yes		GPL96	Microarray	Affymetrix Human Genome U133A Array; 	RMA	FALSE		The dataset contains bone marrow (BM) samples from 10 patients with Waldenström’s macroglobulinemia (WM), 12 with multiple myeloma (MM) and 11 with chronic lymphocytic leukemia (CLL) were included in the study; Only the healthy/MM samples are included in MM30.
Terragna et al. (2016)	GSE68871	118	118	24442	MM	Expression data from BM-CD138+, obtained from newly diagnosed Multiple Myeloma patients [response to VTD therapy]	The genetic and genomic background of multiple myeloma patients achieving complete response after induction therapy with bortezomib, thalidomide and dexamethasone (VTD).	https://www.oncotarget.com/article/5718/text/	2016	Patient	CD138+	treatment_response	response to vtd therapy:ch1'			1		disease state			yes	GPL570	Microarray	Affymetrix Human Genome U133 Plus 2.0 Array; 	GCRMA	FALSE	GSE58133; GSE69029	Terragna et al. focused primarily on treating the new MM patients (n = 118) with the induction therapy of VTD. The gene expression profiling (54,677 probes) was carried out in the Affymetrix Human Genome U133 Plus 2.0 Array.
Decaux et al. (2008)	GSE7039	250	250	6778	MM	Molecular prognosis in multiple myeloma	Prediction of survival in multiple myeloma based on gene expression profiles reveals cell cycle and chromosomal instability signatures in high-risk patients and hyperdiploid signatures in low-risk patients: a study of the Intergroupe Francophone du Myélome	https://pubmed.ncbi.nlm.nih.gov/18591550/	2008	Patient	CD138+	os_time	*deceased, follow_up_days (see notes)	patient_died		1			yes			GPL4819	Microarray	UMGC-IRCNA 9k A	global scaling	FALSE		Survival data provided by corresponding author (Stéphane Minvielle) via email on 2019/06/06.
Miannay et al. (2017)	GSE83503	585	585	17311	MM, RRMM	Key transcription factors altered in multiple myeloma patients revealed by logic programming approach combining gene expression pro ling and regulatory networks	Logic programming reveals alteration of key transcription factors in multiple myeloma.	https://pubmed.ncbi.nlm.nih.gov/28835615/	2017	Patient	CD138+	NA	NA	patient_died, pfs_event	death:ch1, relapse:ch1	1		disease state, relapse	yes			GPL5175	Microarray	Affymetrix Human Exon 1.0 ST Array [transcript (gene) version]	RMA	FALSE		GEO dataset includes 602 patients, but 17 are missing disease stage information.
APEX/SUMMIT	GSE9782	264	264	21290	RRMM	Gene expression profiling and correlation with outcome in clinical trials of the proteasome inhibitor bortezomib	Gene expression profiling and correlation with outcome in clinical trials of the proteasome inhibitor bortezomib	https://pubmed.ncbi.nlm.nih.gov/17185464/	2007	Patient	CD138+	treatment_response, os_time, pfs_time	PGx_Response, PGx_Responder	os_event, pfs_event	Did_Patient_Die	3		sex, race, Age_at_Randomization, treatment, Did_Patient_Die(0=No, 1=Yes)	yes		yes	GPL96	Microarray	Affymetrix Human Genome U133A Array	MAS5	FALSE		Metadata is stored incorrectly for this dataset with the variables names encoded along-side of the values, e.g. 'characteristics_ch1.9   <fct> PGx_Days_To_Progression = 87', requiring manual intervention.
MMRF CoMMpass	MMRF	754	754	51411	MM, RRMM		High somatic mutation and neoantigen burden are correlated with decreased progression-free survival in multiple myeloma	https://pubmed.ncbi.nlm.nih.gov/28937974/	2017	Patient	CD138+	iss_stage, ecog, mm_status, pfs, os, Bor-Len-Dex, Bor-Cyc-Dex, Car-Cyc-Dex	R_ISS, ecog, D_PT_mmstatus, pfscdy, oscdy, Bor-Len-Dex, Bor-Cyc-Dex, Car-Cyc-Dex	censos, censpfs	censos, censpfs	8			yes		yes	GPL16791	RNA-Seq	Illumina HiSeq2000 / Illumina HiSeq2500		FALSE		
